palabra1,palabra2,compuesta,Clase
lasagna,chicken,lasagna chicken,1
lunch,sashimi,lunch sashimi,1
yummy,bbq,yummy bbq,0
crust,happy,crust happy,0
cracker,banana,cracker banana,0
lentil,bolognese,lentil bolognese,0
rib,filet,rib filet,0
warm,chip,warm chip,0
steak,poached,steak poached,0
brownie,ice,brownie ice,0
bagel,strawberry,bagel strawberry,0
bacon,filling,bacon filling,0
provolone,brie,provolone brie,0
italian,onion,italian onion,0
orange,animal,orange animal,0
salad,salmon,salad salmon,1
gloriou,pork,gloriou pork,1
house,cheese,house cheese,0
broccolini,salad,broccolini salad,0
large,greek,large greek,0
pork,benedict,pork benedict,0
szechuan,bean,szechuan bean,0
tomato,swiss,tomato swiss,0
dessert,tasty,dessert tasty,0
grilled,table,grilled table,0
citru,thyme,citru thyme,0
generou,sausage,generou sausage,0
bacon,small,bacon small,1
ribeye,filet,ribeye filet,1
polentum,mushroom,polentum mushroom,0
guava,cream,guava cream,1
raw,beef,raw beef,0
trio,cheesecake,trio cheesecake,0
bagel,scrumptiou,bagel scrumptiou,1
coffee,pink,coffee pink,0
nutella,pan,nutella pan,0
classic,sesame,classic sesame,0
pastum,bean,pastum bean,0
homemade,chocolate,homemade chocolate,0
piece,chowder,piece chowder,0
fish,pie,fish pie,1
rice,aka,rice aka,0
bean,sauce,bean sauce,1
salad,lotu,salad lotu,0
toast,flavor,toast flavor,0
ricottum,broccoli,ricottum broccoli,1
basket,wing,basket wing,0
egg,onion,egg onion,0
cream,caramelized,cream caramelized,1
meatball,day,meatball day,0
crispy,sushi,crispy sushi,1
muffin,toasted,muffin toasted,1
cappuccino,ground,cappuccino ground,0
style,biscuit,style biscuit,0
asparagu,parmesan,asparagu parmesan,0
cold,appetizer,cold appetizer,0
churro,horchatum,churro horchatum,0
tail,deliciou,tail deliciou,0
flavorful,green,flavorful green,0
bite,sweet,bite sweet,0
spiced,beef,spiced beef,1
pesto,steak,pesto steak,0
cheese,butter,cheese butter,0
coconut,soft,coconut soft,0
filled,raspberry,filled raspberry,1
tofu,bland,tofu bland,0
vanilla,cheesecake,vanilla cheesecake,1
food,heart,food heart,0
pork,layered,pork layered,1
crispy,crunch,crispy crunch,0
hazelnut,creme,hazelnut creme,1
box,steak,box steak,0
salad,lemon,salad lemon,1
seasonal,scallop,seasonal scallop,0
seared,salad,seared salad,1
bisque,flavor,bisque flavor,0
mocha,oatmeal,mocha oatmeal,0
classic,cheese,classic cheese,0
garbanzo,crispy,garbanzo crispy,1
tortilla,filled,tortilla filled,1
homemade,tortilla,homemade tortilla,1
albacore,chef,albacore chef,0
fried,wonton,fried wonton,0
ice,matcha,ice matcha,0
cracker,coconut,cracker coconut,1
fat,burger,fat burger,0
pepper,basil,pepper basil,0
aioli,lemon,aioli lemon,0
blossom,salmon,blossom salmon,0
cheek,nut,cheek nut,0
piece,chef,piece chef,0
frittatum,roasted,frittatum roasted,0
burger,asian,burger asian,0
gelato,spaghetti,gelato spaghetti,0
style,matcha,style matcha,0
piece,rock,piece rock,0
meal,day,meal day,0
black,berry,black berry,1
brown,toast,brown toast,0
onion,hazelnut,onion hazelnut,0
chocolate,chili,chocolate chili,0
corn,coleslaw,corn coleslaw,1
banana,pudding,banana pudding,1
combo,corn,combo corn,0
house,ground,house ground,0
croissant,dessert,croissant dessert,0
vegetable,stick,vegetable stick,0
meringue,tart,meringue tart,1
cranberry,chocolate,cranberry chocolate,0
shrimp,wing,shrimp wing,0
sausage,caramelized,sausage caramelized,1
little,side,little side,0
ribeye,char,ribeye char,0
aioli,potato,aioli potato,0
meat,poutine,meat poutine,0
hawaiian,pizza,hawaiian pizza,0
ginger,chicken,ginger chicken,0
sliced,japanese,sliced japanese,0
buffalo,ranch,buffalo ranch,0
muffin,ham,muffin ham,0
pico,crema,pico crema,0
combo,bowl,combo bowl,1
wrap,duck,wrap duck,0
french,almond,french almond,0
pineapple,smoothie,pineapple smoothie,0
sauce,marinated,sauce marinated,1
shrimp,wish,shrimp wish,0
lox,box,lox box,0
green,white,green white,0
burrito,soy,burrito soy,0
special,roll,special roll,0
flour,topped,flour topped,0
sampler,big,sampler big,0
water,crab,water crab,0
scallop,braised,scallop braised,0
blossom,grilled,blossom grilled,0
cheese,avocado,cheese avocado,0
house,potato,house potato,0
appetizer,super,appetizer super,0
roll,bean,roll bean,1
artichoke,grilled,artichoke grilled,0
special,deliciou,special deliciou,0
topping,raman,topping raman,0
cha,raman,cha raman,0
mousse,fried,mousse fried,0
portobello,mushroom,portobello mushroom,0
peach,deliciou,peach deliciou,0
yummy,like,yummy like,0
greek,chicken,greek chicken,1
veggie,broth,veggie broth,1
salty,grilled,salty grilled,0
little,dry,little dry,0
fry,flavour,fry flavour,0
cheese,steam,cheese steam,0
meal,rice,meal rice,0
fatty,buttery,fatty buttery,0
japanese,grilled,japanese grilled,0
chilled,tomato,chilled tomato,1
leg,sweet,leg sweet,0
scallop,filet,scallop filet,0
ricottum,filling,ricottum filling,0
shrimp,rice,shrimp rice,0
stew,soup,stew soup,0
vietnamese,coffee,vietnamese coffee,0
topped,salmon,topped salmon,0
fire,chicken,fire chicken,0
tartare,bruschettum,tartare bruschettum,0
dried,scallop,dried scallop,0
albacore,tataki,albacore tataki,0
cup,lobster,cup lobster,0
japanese,korean,japanese korean,0
lobster,slider,lobster slider,0
deliciou,snow,deliciou snow,0
cucumber,sriracha,cucumber sriracha,0
bite,cooked,bite cooked,0
order,sicilian,order sicilian,0
asada,entree,asada entree,0
rice,peking,rice peking,0
pastum,grilled,pastum grilled,0
cucumber,pork,cucumber pork,0
quesadilla,bland,quesadilla bland,0
benedict,buttermilk,benedict buttermilk,0
crawfish,cooked,crawfish cooked,0
tea,creme,tea creme,0
coconut,vegan,coconut vegan,1
walnut,blue,walnut blue,0
smoked,cashew,smoked cashew,0
sashimi,tofu,sashimi tofu,1
tonkatsu,fire,tonkatsu fire,0
district,blackberry,district blackberry,0
half,sweet,half sweet,0
pink,taco,pink taco,0
burger,fry,burger fry,0
tempura,tuna,tempura tuna,1
hamachi,tuna,hamachi tuna,1
white,mocha,white mocha,0
orange,cappuccino,orange cappuccino,0
doughnut,caramel,doughnut caramel,0
hummu,topped,hummu topped,0
seabass,slider,seabass slider,0
rock,combo,rock combo,0
day,chop,day chop,0
vegan,sampler,vegan sampler,0
caviar,creme,caviar creme,1
topped,pecan,topped pecan,0
appetizer,cold,appetizer cold,0
patata,salt,patata salt,0
boiled,egg,boiled egg,1
lemon,croissant,lemon croissant,1
confit,tomato,confit tomato,0
chorizo,omelette,chorizo omelette,1
nutella,crepe,nutella crepe,0
churro,bar,churro bar,0
butum,fire,butum fire,0
vega,home,vega home,0
egg,deliciou,egg deliciou,0
radish,lime,radish lime,0
mini,doughnut,mini doughnut,1
coffee,affogato,coffee affogato,0
lamb,rice,lamb rice,0
sweet,egg,sweet egg,1
served,perfect,served perfect,0
bean,day,bean day,0
huge,piece,huge piece,1
mini,cheesecake,mini cheesecake,1
sauteed,seabass,sauteed seabass,0
half,flavor,half flavor,0
danish,sea,danish sea,0
yellow,watermelon,yellow watermelon,0
beef,steamed,beef steamed,0
cream,sticky,cream sticky,0
chip,cooky,chip cooky,0
tiramisu,slouse,tiramisu slouse,0
split,strawberry,split strawberry,0
gourmet,pizza,gourmet pizza,1
garlic,bread,garlic bread,1
rose,pastry,rose pastry,0
bite,chocolate,bite chocolate,0
sandwich,southern,sandwich southern,0
basil,ricottum,basil ricottum,0
crunchy,fried,crunchy fried,0
matcha,soft,matcha soft,0
flour,corn,flour corn,0
fresh,deliciou,fresh deliciou,0
meatloaf,mushroom,meatloaf mushroom,0
drink,lemon,drink lemon,0
curd,mascarpone,curd mascarpone,0
nigiri,caramel,nigiri caramel,0
asparagu,poached,asparagu poached,0
japanese,vegetable,japanese vegetable,0
fry,noodle,fry noodle,0
dark,deliciou,dark deliciou,0
lime,mustard,lime mustard,0
sea,cherry,sea cherry,0
dressing,deliciou,dressing deliciou,0
house,boiled,house boiled,0
schnitzel,warm,schnitzel warm,0
slaw,spicy,slaw spicy,0
doughnut,cream,doughnut cream,0
hot,meat,hot meat,1
green,big,green big,0
chopped,gorgonzola,chopped gorgonzola,0
deliciou,soggy,deliciou soggy,0
fatty,tasty,fatty tasty,1
scone,cake,scone cake,0
crisp,avocado,crisp avocado,0
pastum,mixed,pastum mixed,0
champagne,go,champagne go,0
pork,vietnamese,pork vietnamese,0
cupcake,vegan,cupcake vegan,0
soup,crab,soup crab,1
fillet,black,fillet black,0
apple,lamb,apple lamb,0
rib,homemade,rib homemade,0
caprese,trout,caprese trout,0
cake,toast,cake toast,0
fried,bao,fried bao,1
sauce,black,sauce black,0
brew,steakhouse,brew steakhouse,0
order,chocolate,order chocolate,0
pizza,rosemary,pizza rosemary,0
baked,pomodoro,baked pomodoro,0
savory,bbq,savory bbq,0
day,lemon,day lemon,0
chilled,chicken,chilled chicken,1
skewer,onion,skewer onion,0
sweet,cabbage,sweet cabbage,1
shrimp,alfredo,shrimp alfredo,0
berry,bread,berry bread,0
shrimp,smoked,shrimp smoked,0
bay,love,bay love,0
noodle,poached,noodle poached,0
chicken,plate,chicken plate,0
poutine,spicy,poutine spicy,0
cauliflower,burger,cauliflower burger,0
cheese,tasty,cheese tasty,0
sweet,brown,sweet brown,0
stuffed,pizza,stuffed pizza,1
love,heat,love heat,0
citru,fennel,citru fennel,0
bagel,gourmet,bagel gourmet,0
cinnamon,cream,cinnamon cream,0
style,pulled,style pulled,0
rosemary,biscuit,rosemary biscuit,0
platter,piece,platter piece,0
phoenix,roll,phoenix roll,0
roe,marinated,roe marinated,0
almond,crust,almond crust,0
salad,pad,salad pad,0
seafood,paella,seafood paella,0
bbq,chocolate,bbq chocolate,0
mozzarella,sauce,mozzarella sauce,0
pepper,mozzarella,pepper mozzarella,0
crepe,waffle,crepe waffle,0
beef,yakitori,beef yakitori,1
paste,home,paste home,0
seasonal,more,seasonal more,0
italian,tiramisu,italian tiramisu,1
karaage,aka,karaage aka,0
spicy,portion,spicy portion,0
butter,crab,butter crab,0
noodle,big,noodle big,0
burrito,fresh,burrito fresh,0
perfect,vegetarian,perfect vegetarian,0
crust,served,crust served,0
bacon,candy,bacon candy,0
grilled,spicy,grilled spicy,0
vegan,red,vegan red,0
chop,marinated,chop marinated,0
butter,crostini,butter crostini,0
soy,taco,soy taco,0
bacon,gelato,bacon gelato,0
cannoli,tiramisu,cannoli tiramisu,0
croissant,perfect,croissant perfect,0
tuna,quinoa,tuna quinoa,0
scallop,vodka,scallop vodka,0
tomato,bean,tomato bean,0
shrimp,seafood,shrimp seafood,1
smoked,rib,smoked rib,1
crispy,egg,crispy egg,1
spicy,carrot,spicy carrot,1
oatmeal,bowl,oatmeal bowl,1
sauce,chocolate,sauce chocolate,1
donut,raspberry,donut raspberry,1
roll,pork,roll pork,1
mozzarella,muffin,mozzarella muffin,1
crispy,cod,crispy cod,1
sashimi,ponzu,sashimi ponzu,1
pie,lemon,pie lemon,1
ceviche,cooked,ceviche cooked,1
toast,smoked,toast smoked,1
garlic,soup,garlic soup,1
buffalo,crispy,buffalo crispy,1
tart,raspberry,tart raspberry,1
jalapeno,slaw,jalapeno slaw,1
sauce,calamari,sauce calamari,1
fried,risotto,fried risotto,1
spicy,chorizo,spicy chorizo,1
coconut,jam,coconut jam,1
meatball,salami,meatball salami,1
roll,rice,roll rice,1
fish,tempura,fish tempura,1
soup,lobster,soup lobster,1
bang,chicken,bang chicken,1
breaded,chicken,breaded chicken,1
bowl,strawberry,bowl strawberry,1
chocolate,fudge,chocolate fudge,1
bulgogi,kimchi,bulgogi kimchi,1
charred,apple,charred apple,1
mango,yogurt,mango yogurt,1
mousse,cherry,mousse cherry,1
mocha,cake,mocha cake,1
strawberry,salsa,strawberry salsa,1
coffee,flan,coffee flan,1
sweet,lemon,sweet lemon,1
breast,chicken,breast chicken,1
tiramisu,coffee,tiramisu coffee,1
salad,mixed,salad mixed,1
cheese,waffle,cheese waffle,1
arugula,beer,arugula beer,1
marinated,pig,marinated pig,1
lettuce,marinated,lettuce marinated,1
hamburger,cheese,hamburger cheese,1
pork,caramelized,pork caramelized,1
horseradish,crema,horseradish crema,1
fetum,chorizo,fetum chorizo,1
italian,seafood,italian seafood,1
hawaiian,burger,hawaiian burger,1
shrimp,cocktail,shrimp cocktail,1
sugar,cookie,sugar cookie,1
strawberry,cupcake,strawberry cupcake,1
filet,grilled,filet grilled,1
cornbread,muffin,cornbread muffin,1
butter,custard,butter custard,1
sauteed,garlic,sauteed garlic,1
roasted,lamb,roasted lamb,1
ranch,sauce,ranch sauce,1
wrapped,roll,wrapped roll,1
margheritum,pie,margheritum pie,1
lamb,olive,lamb olive,1
caramel,crunch,caramel crunch,1
special,avocado,special avocado,1
sundae,chocolate,sundae chocolate,1
ham,smoked,ham smoked,1
steak,trout,steak trout,1
miso,marinated,miso marinated,1
carrot,dish,carrot dish,1
oreo,crepe,oreo crepe,1
cheese,crisp,cheese crisp,1
gravy,garlic,gravy garlic,1
chicken,filling,chicken filling,1
ginger,salad,ginger salad,1
bibimbap,chicken,bibimbap chicken,1
vegetable,salad,vegetable salad,1
cod,grilled,cod grilled,1
beef,fry,beef fry,1
beef,steak,beef steak,1
italian,pizza,italian pizza,1
lime,cake,lime cake,1
apple,tart,apple tart,1
mango,dessert,mango dessert,1
lamb,steak,lamb steak,1
seafood,grilled,seafood grilled,1
lamb,leg,lamb leg,1
topping,cake,topping cake,1
pork,bun,pork bun,1
marinated,kalbi,marinated kalbi,1
stuffed,steak,stuffed steak,1
dumpling,pork,dumpling pork,1
jam,sweet,jam sweet,1
custard,cake,custard cake,1
mango,snow,mango snow,1
lamb,bowl,lamb bowl,1
squash,creamy,squash creamy,1
smoked,tuna,smoked tuna,1
chicken,cooked,chicken cooked,1
bomb,heart,bomb heart,1
dessert,mango,dessert mango,1
caramelized,chocolate,caramelized chocolate,1
asada,cheese,asada cheese,1
tuna,cheeseburger,tuna cheeseburger,1
broth,beef,broth beef,1
orange,sour,orange sour,1
bun,butter,bun butter,1
alcohol,cupcake,alcohol cupcake,0
popcorn,cheese,popcorn cheese,0
torched,wrap,torched wrap,0
brussel,lemon,brussel lemon,0
dumpling,steam,dumpling steam,0
wing,perfect,wing perfect,0
special,watermelon,special watermelon,0
chicken,jalapeno,chicken jalapeno,0
spinach,omelet,spinach omelet,0
ball,tea,ball tea,0
ice,share,ice share,0
parmesan,fresh,parmesan fresh,0
baklava,ice,baklava ice,0
brisket,chicken,brisket chicken,0
wing,meal,wing meal,0
cheek,patata,cheek patata,0
katsu,fry,katsu fry,0
half,fried,half fried,0
sandwich,thanksgiving,sandwich thanksgiving,0
wing,beef,wing beef,1
bbq,sampler,bbq sampler,0
asada,fajitum,asada fajitum,0
vegetarian,omelette,vegetarian omelette,0
belly,bagel,belly bagel,0
burger,sampler,burger sampler,0
dinner,egg,dinner egg,0
raw,cooked,raw cooked,0
endoedible,thanksgiving,endoedible thanksgiving,0
caramelized,pecan,caramelized pecan,0
chicken,fried,chicken fried,1
taco,deliciou,taco deliciou,0
chicken,onion,chicken onion,0
greek,salmon,greek salmon,0
biscuit,black,biscuit black,0
endoedible,caramel,endoedible caramel,0
carson,thai,carson thai,0
yummy,chocolate,yummy chocolate,1
white,cheddar,white cheddar,0
sweet,italian,sweet italian,0
texa,french,texa french,0
mousse,cookie,mousse cookie,0
hamachi,fish,hamachi fish,0
beef,brioche,beef brioche,0
tataki,mustard,tataki mustard,0
strawberry,couli,strawberry couli,1
salad,smoked,salad smoked,0
mango,pie,mango pie,0
fry,chorizo,fry chorizo,0
rosemary,turkey,rosemary turkey,0
stuffed,cabbage,stuffed cabbage,0
dark,chicken,dark chicken,0
wrap,bowl,wrap bowl,0
bruschettum,pesto,bruschettum pesto,0
beef,caramelized,beef caramelized,0
infused,syrup,infused syrup,0
breakfast,crepe,breakfast crepe,0
double,corn,double corn,0
meat,plate,meat plate,0
cinnamon,soft,cinnamon soft,0
fresh,guacamole,fresh guacamole,0
coconut,scone,coconut scone,0
cream,cheese,cream cheese,1
dinner,potato,dinner potato,0
tonkatsu,tempura,tonkatsu tempura,0
chop,fry,chop fry,0
soup,lemon,soup lemon,0
cooky,scratch,cooky scratch,0
sea,daikon,sea daikon,0
black,steak,black steak,0
asada,roll,asada roll,0
buttermilk,fried,buttermilk fried,0
belly,toast,belly toast,0
cherry,bread,cherry bread,0
grill,pitum,grill pitum,0
sunday,quinoa,sunday quinoa,0
berry,toast,berry toast,0
beer,avocado,beer avocado,0
butter,pecan,butter pecan,0
cheese,pastor,cheese pastor,1
cone,raspberry,cone raspberry,0
black,scone,black scone,0
marshmallow,apple,marshmallow apple,0
instead,bacon,instead bacon,0
coffee,latte,coffee latte,0
heart,skewer,heart skewer,0
special,chilli,special chilli,0
elote,dog,elote dog,0
salmon,katsu,salmon katsu,0
ice,grass,ice grass,0
mustard,bbq,mustard bbq,0
crab,noodle,crab noodle,0
homemade,cannoli,homemade cannoli,0
soup,tasty,soup tasty,0
chef,seasonal,chef seasonal,0
roasted,sea,roasted sea,0
pork,gyoza,pork gyoza,0
cheesy,corn,cheesy corn,0
stuffed,mushroom,stuffed mushroom,0
wrap,sweet,wrap sweet,0
quesadilla,cheese,quesadilla cheese,0
avocado,sun,avocado sun,0
bun,bread,bun bread,1
seared,tempura,seared tempura,0
chilled,mango,chilled mango,0
nacho,sweet,nacho sweet,1
corn,tomato,corn tomato,0
shrimp,wish,shrimp wish,0
miso,buttery,miso buttery,0
peach,fry,peach fry,0
salad,wasabi,salad wasabi,0
plate,chorizo,plate chorizo,0
cheese,vinaigrette,cheese vinaigrette,0
butter,donut,butter donut,0
braised,topped,braised topped,0
fry,love,fry love,0
mochi,special,mochi special,0
meat,lamb,meat lamb,1
blackberry,jasmine,blackberry jasmine,0
fresh,poached,fresh poached,0
cheese,truffle,cheese truffle,0
sampler,cannoli,sampler cannoli,0
dinner,peanut,dinner peanut,0
berry,coffee,berry coffee,0
californium,turkey,californium turkey,0
chorizo,potato,chorizo potato,1
carpaccio,lime,carpaccio lime,0
juicy,burger,juicy burger,0
pastrami,short,pastrami short,0
bowl,lime,bowl lime,0
cookie,raisin,cookie raisin,0
grill,side,grill side,0
appetizer,table,appetizer table,0
chicken,cheese,chicken cheese,0
seasoning,brioche,seasoning brioche,0
salad,blood,salad blood,0
mini,hot,mini hot,0
bowl,honey,bowl honey,0
blueberry,granola,blueberry granola,0
cream,fat,cream fat,0
wing,japanese,wing japanese,0
lunch,brunch,lunch brunch,0
cream,clockwise,cream clockwise,1
crepe,chocolate,crepe chocolate,0
brisket,combo,brisket combo,0
porchettum,herb,porchettum herb,1
sauce,garden,sauce garden,1
burratum,ricottum,burratum ricottum,1
lemongrass,pork,lemongrass pork,1
cream,sushi,cream sushi,0
mango,passion,mango passion,1
chile,queso,chile queso,1
vinaigrette,share,vinaigrette share,0
rosemary,toast,rosemary toast,0
tomato,chipotle,tomato chipotle,0
hot,sauce,hot sauce,0
cookie,white,cookie white,0
grilled,bread,grilled bread,0
cream,cookie,cream cookie,0
cheese,molass,cheese molass,1
potato,toast,potato toast,0
cabbage,apple,cabbage apple,0
chef,complimentary,chef complimentary,0
dessert,traditional,dessert traditional,1
mango,peach,mango peach,0
burger,pastor,burger pastor,1
benedict,toasted,benedict toasted,0
vegan,smoked,vegan smoked,0
chicken,bite,chicken bite,0
thick,chip,thick chip,0
cauliflower,quinoa,cauliflower quinoa,0
burger,toasted,burger toasted,0
meatball,tomato,meatball tomato,0
hot,protein,hot protein,0
bean,fry,bean fry,0
mousse,chocolate,mousse chocolate,0
cheese,little,cheese little,0
pizza,wine,pizza wine,0
leg,lobster,leg lobster,0
house,spicy,house spicy,1
cornbread,perfect,cornbread perfect,0
breast,bacon,breast bacon,0
nacho,pizza,nacho pizza,0
fried,octopus,fried octopus,0
beef,home,beef home,0
poutine,duck,poutine duck,0
organic,lentil,organic lentil,0
cream,macaron,cream macaron,0
enchilada,plate,enchilada plate,0
chocolate,panna,chocolate panna,1
spicy,chip,spicy chip,0
deliciou,special,deliciou special,0
belly,vegan,belly vegan,0
double,crunch,double crunch,0
tofu,pad,tofu pad,0
fried,curry,fried curry,0
turkey,pulled,turkey pulled,0
soi,noodle,soi noodle,1
avocado,guacamole,avocado guacamole,0
super,crispy,super crispy,0
chocolate,box,chocolate box,0
donut,vanilla,donut vanilla,0
mozzarella,crepe,mozzarella crepe,0
friend,love,friend love,0
water,kimchi,water kimchi,0
ball,fruity,ball fruity,0
cup,cupcake,cup cupcake,0
lemongrass,cilantro,lemongrass cilantro,0
chef,little,chef little,0
sashimi,cooked,sashimi cooked,0
crab,cream,crab cream,1
ham,bread,ham bread,0
vegan,bird,vegan bird,0
spiced,crispy,spiced crispy,0
rib,cooked,rib cooked,0
seared,black,seared black,0
steakhouse,american,steakhouse american,0
mild,dark,mild dark,0
flavorful,filling,flavorful filling,0
soup,spicy,soup spicy,0
curd,dumpling,curd dumpling,0
toast,home,toast home,0
free,order,free order,0
steak,bacon,steak bacon,0
classic,brown,classic brown,0
chip,pancake,chip pancake,0
french,apple,french apple,0
tea,soft,tea soft,0
bulgogi,roll,bulgogi roll,0
rolled,onion,rolled onion,1
jalapeno,raman,jalapeno raman,0
fresh,bread,fresh bread,0
pancake,beef,pancake beef,0
soft,fish,soft fish,0
bibimbap,tofu,bibimbap tofu,0
compote,sauce,compote sauce,1
spinach,braised,spinach braised,0
apple,jam,apple jam,0
kalbi,short,kalbi short,0
entree,plate,entree plate,0
bacon,roe,bacon roe,0
caramel,latte,caramel latte,0
clam,sashimi,clam sashimi,0
burger,chipotle,burger chipotle,1
char,deliciou,char deliciou,0
dish,korean,dish korean,0
creamy,mochi,creamy mochi,0
dumpling,yogurt,dumpling yogurt,0
grilled,chimichurri,grilled chimichurri,0
cheese,pepper,cheese pepper,0
pesto,roasted,pesto roasted,0
juice,candied,juice candied,0
chorizo,egg,chorizo egg,0
cheeseburger,burger,cheeseburger burger,0
egg,fungu,egg fungu,0
lemon,juice,lemon juice,0
grilled,white,grilled white,0
rice,bao,rice bao,0
topped,golden,topped golden,0
pulled,ham,pulled ham,0
tomato,provolone,tomato provolone,0
mousse,pie,mousse pie,0
lunch,roll,lunch roll,0
compote,cheesy,compote cheesy,0
happy,karaage,happy karaage,0
steak,risotto,steak risotto,0
meat,set,meat set,0
corn,queso,corn queso,0
rice,milk,rice milk,1
salmon,food,salmon food,0
perfect,crunch,perfect crunch,0
roll,pea,roll pea,0
leg,steak,leg steak,0
house,cashew,house cashew,0
side,rice,side rice,0
pig,japanese,pig japanese,0
served,rose,served rose,0
fry,slaw,fry slaw,0
grilled,charred,grilled charred,0
pretzel,love,pretzel love,0
pumpkin,orange,pumpkin orange,0
beef,satay,beef satay,0
flavor,dessert,flavor dessert,0
sea,butternut,sea butternut,0
elote,grilled,elote grilled,0
homemade,sweet,homemade sweet,0
fried,tasty,fried tasty,0
schnitzel,flavor,schnitzel flavor,0
cajun,rib,cajun rib,0
sausage,pretzel,sausage pretzel,0
deliciou,custard,deliciou custard,0
flavor,sweet,flavor sweet,1
beer,grape,beer grape,0
caramel,popcorn,caramel popcorn,0
carson,sausage,carson sausage,0
grape,basil,grape basil,0
gorgonzola,pear,gorgonzola pear,0
quarter,sweet,quarter sweet,0
wrapped,grilled,wrapped grilled,0
pink,blue,pink blue,0
mustard,crusted,mustard crusted,0
donut,apple,donut apple,0
potsticker,yummy,potsticker yummy,1
fresh,cold,fresh cold,0
celery,potato,celery potato,1
roasted,salmon,roasted salmon,0
tartare,chilled,tartare chilled,0
tortum,roll,tortum roll,1
roll,marium,roll marium,1
double,breast,double breast,0
avocado,panini,avocado panini,1
hot,wing,hot wing,0
classic,pomodoro,classic pomodoro,0
salad,maple,salad maple,0
andy,famou,andy famou,0
sausage,spaghetti,sausage spaghetti,0
crunch,sweet,crunch sweet,0
waffle,roll,waffle roll,0
bruschettum,bowl,bruschettum bowl,0
brownie,stick,brownie stick,0
hazelnut,brownie,hazelnut brownie,0
fish,topped,fish topped,0
salmon,lentil,salmon lentil,0
duck,waffle,duck waffle,0
corn,big,corn big,0
lime,mushroom,lime mushroom,0
love,cupcake,love cupcake,0
ginger,butter,ginger butter,0
ponzu,nori,ponzu nori,0
burger,beef,burger beef,1
ribeye,fired,ribeye fired,0
roasted,strawberry,roasted strawberry,0
noodle,peach,noodle peach,0
jelly,dessert,jelly dessert,0
chicken,bulgogi,chicken bulgogi,0
fresh,pumpkin,fresh pumpkin,0
vegan,chinese,vegan chinese,0
omelette,house,omelette house,0
shrimp,veggie,shrimp veggie,0
happy,fried,happy fried,0
tomato,avocado,tomato avocado,0
free,crust,free crust,0
mochi,slice,mochi slice,0
sausage,veggie,sausage veggie,0
verde,lettuce,verde lettuce,0
pecan,chocolate,pecan chocolate,0
pepper,herb,pepper herb,1
pesto,pollo,pesto pollo,0
craftkitchen,hazelnut,craftkitchen hazelnut,0
egg,tart,egg tart,0
love,matcha,love matcha,0
lunch,spicy,lunch spicy,0
goat,biryani,goat biryani,0
southern,burger,southern burger,0
salad,potato,salad potato,0
lunch,miso,lunch miso,0
mixed,veggie,mixed veggie,0
chef,chinese,chef chinese,0
buttermilk,blueberry,buttermilk blueberry,0
korean,kimchi,korean kimchi,1
crunchy,plate,crunchy plate,0
old,vanilla,old vanilla,0
miso,hollandaise,miso hollandaise,0
pancettum,beef,pancettum beef,1
large,tray,large tray,0
syrup,topped,syrup topped,0
asparagu,raspberry,asparagu raspberry,0
apple,maple,apple maple,0
spice,heat,spice heat,0
japanese,beef,japanese beef,1
beef,chive,beef chive,1
calamari,salad,calamari salad,0
edamame,ponzu,edamame ponzu,0
sundae,TRUE,sundae true,0
plate,honey,plate honey,0
unagi,spicy,unagi spicy,0
banh,kalbi,banh kalbi,0
tofu,poke,tofu poke,0
tasty,taco,tasty taco,0
wing,gluten,wing gluten,1
citru,aioli,citru aioli,0
pepper,potato,pepper potato,0
greek,plate,greek plate,0
ranch,arugula,ranch arugula,0
rib,grilled,rib grilled,0
thai,seafood,thai seafood,0
salmon,wheat,salmon wheat,1
trout,pea,trout pea,0
elvi,nutella,elvi nutella,0
grill,beef,grill beef,1
bolognese,sauce,bolognese sauce,1
fry,vegan,fry vegan,0
chip,special,chip special,0
lamb,sirloin,lamb sirloin,0
rice,plate,rice plate,0
style,fresh,style fresh,0
scallop,tasty,scallop tasty,0
smoked,caviar,smoked caviar,0
endoedible,corn,endoedible corn,0
roll,crispy,roll crispy,1
wing,quesadilla,wing quesadilla,0
sushi,teriyaki,sushi teriyaki,0
cracker,crust,cracker crust,0
spicy,mix,spicy mix,0
pepper,house,pepper house,0
charcoal,cherry,charcoal cherry,0
clockwise,bacon,clockwise bacon,1
skewer,pork,skewer pork,0
blue,roll,blue roll,0
pizza,wrap,pizza wrap,0
sunday,chicken,sunday chicken,0
taco,extra,taco extra,0
sauce,topped,sauce topped,0
double,rib,double rib,0
fajita,mexican,fajita mexican,0
leche,cake,leche cake,1
carpaccio,seared,carpaccio seared,0
deliciou,pound,deliciou pound,0
fry,pastrami,fry pastrami,0
yuzu,citru,yuzu citru,0
italian,topping,italian topping,0
filled,dipped,filled dipped,0
berry,sugar,berry sugar,0
love,sea,love sea,0
marshmallow,special,marshmallow special,0
seed,bread,seed bread,0
onion,jam,onion jam,0
kimchi,pastum,kimchi pastum,0
nacho,pretzel,nacho pretzel,0
tempura,pickled,tempura pickled,0
cake,benedict,cake benedict,0
spicy,alfredo,spicy alfredo,0
bulgogi,poutine,bulgogi poutine,0
chorizo,queso,chorizo queso,0
squash,zucchini,squash zucchini,0
toast,perfect,toast perfect,0
lunch,crispy,lunch crispy,0
tomato,sour,tomato sour,1
egg,dish,egg dish,0
