palabra1,palabra2,compuesta,Clase
house,smoked,house smoked,0
salad,roasted,salad roasted,0
grill,phoenix,grill phoenix,0
bean,salad,bean salad,1
sugar,pop,sugar pop,0
extra,nori,extra nori,0
brisket,biscuit,brisket biscuit,0
house,bean,house bean,0
lobster,ball,lobster ball,0
purple,ice,purple ice,1
soup,filling,soup filling,0
burger,mixed,burger mixed,0
red,pork,red pork,1
walnut,pancake,walnut pancake,1
big,super,big super,0
candy,dessert,candy dessert,0
benedict,smoothie,benedict smoothie,0
roll,condensed,roll condensed,0
squash,mexican,squash mexican,0
happy,grill,happy grill,0
meatball,fry,meatball fry,0
truffle,soup,truffle soup,1
pound,brisket,pound brisket,0
mini,grilled,mini grilled,1
paste,walnut,paste walnut,0
pancake,agave,pancake agave,1
half,fry,half fry,0
bread,flavorful,bread flavorful,0
bacon,bomb,bacon bomb,0
beef,enchilada,beef enchilada,1
melted,mozzarella,melted mozzarella,1
sliced,almond,sliced almond,0
bolognese,lasagna,bolognese lasagna,0
bowl,tuna,bowl tuna,0
brisket,panini,brisket panini,0
brisket,mushroom,brisket mushroom,0
dessert,food,dessert food,0
pork,juicy,pork juicy,1
sushi,gyoza,sushi gyoza,0
warm,house,warm house,0
pepper,happy,pepper happy,0
bowl,extra,bowl extra,0
filled,cake,filled cake,0
glazed,endoedible,glazed endoedible,0
chicken,sausage,chicken sausage,1
berry,caramel,berry caramel,0
syrup,artisan,syrup artisan,0
egg,shredded,egg shredded,0
taco,cinnamon,taco cinnamon,0
garden,lemon,garden lemon,0
tuna,cracker,tuna cracker,0
crab,mango,crab mango,0
bulgogi,beef,bulgogi beef,1
style,lunch,style lunch,0
crab,mix,crab mix,0
macaron,lemon,macaron lemon,0
fish,chinese,fish chinese,0
pear,danish,pear danish,0
salmon,shrimp,salmon shrimp,0
rice,flavor,rice flavor,0
tonkotsu,extra,tonkotsu extra,0
short,infused,short infused,0
seafood,crab,seafood crab,0
rice,soft,rice soft,0
rib,hot,rib hot,0
beef,grilled,beef grilled,1
raisin,half,raisin half,0
salad,pomegranate,salad pomegranate,1
vegetarian,sushi,vegetarian sushi,0
turkey,sausage,turkey sausage,0
cheese,yummy,cheese yummy,1
black,crab,black crab,0
rice,fruit,rice fruit,0
omakase,sushi,omakase sushi,0
potato,vegan,potato vegan,0
oil,black,oil black,0
sicilian,meatball,sicilian meatball,0
pizza,vanilla,pizza vanilla,0
caramel,cream,caramel cream,1
coffee,honey,coffee honey,0
flavorful,bowl,flavorful bowl,0
syrup,caramel,syrup caramel,0
taiyaki,red,taiyaki red,1
set,fatty,set fatty,0
deliciou,cinnamon,deliciou cinnamon,0
cheesy,sandwich,cheesy sandwich,0
entree,sticky,entree sticky,0
vegan,cauliflower,vegan cauliflower,0
octopus,duck,octopus duck,0
bbq,sandwich,bbq sandwich,0
famou,pad,famou pad,0
served,couscou,served couscou,0
cream,truffle,cream truffle,1
appetizer,steak,appetizer steak,0
salad,vega,salad vega,0
relleno,egg,relleno egg,1
cherry,almond,cherry almond,0
treat,house,treat house,0
southern,chicken,southern chicken,0
dipped,cheesecake,dipped cheesecake,0
vegan,fajitum,vegan fajitum,0
cheese,salty,cheese salty,1
chilled,tofu,chilled tofu,0
queso,salsa,queso salsa,0
yummy,mediterranean,yummy mediterranean,0
bowl,tofu,bowl tofu,0
tempura,topping,tempura topping,0
pea,falafel,pea falafel,0
seed,salad,seed salad,0
date,super,date super,0
greek,burger,greek burger,0
roasted,turkey,roasted turkey,0
mix,yummy,mix yummy,0
char,burger,char burger,0
tostada,nacho,tostada nacho,0
poached,crab,poached crab,0
croissant,buttery,croissant buttery,0
sorbet,watermelon,sorbet watermelon,0
couscou,tomato,couscou tomato,0
breaded,wing,breaded wing,0
mexican,cream,mexican cream,0
wrapped,sauce,wrapped sauce,0
prosciutto,mozzarella,prosciutto mozzarella,0
nutella,road,nutella road,0
smoked,chorizo,smoked chorizo,0
slice,cheese,slice cheese,0
rosemary,gelato,rosemary gelato,0
fillet,mushroom,fillet mushroom,0
edge,sausage,edge sausage,1
prosciutto,aged,prosciutto aged,0
duck,flavor,duck flavor,0
tart,cranberry,tart cranberry,0
citru,spice,citru spice,0
rice,vegetable,rice vegetable,0
breast,ground,breast ground,0
onion,roasted,onion roasted,0
ginger,vegetable,ginger vegetable,0
chili,spaghetti,chili spaghetti,0
white,corn,white corn,0
super,spicy,super spicy,0
filling,roll,filling roll,0
paneer,masala,paneer masala,0
seasonal,dessert,seasonal dessert,0
pork,apricot,pork apricot,0
rib,seared,rib seared,0
fresh,fry,fresh fry,1
brunch,hot,brunch hot,0
aioli,confit,aioli confit,0
custard,peanut,custard peanut,0
half,yummy,half yummy,0
wheat,mushroom,wheat mushroom,0
roe,rice,roe rice,0
roll,donut,roll donut,0
gnocchi,pomodoro,gnocchi pomodoro,0
meat,quarter,meat quarter,0
mango,salad,mango salad,1
yellow,honey,yellow honey,0
free,texa,free texa,0
fry,hash,fry hash,0
special,extra,special extra,0
breakfast,super,breakfast super,0
pizza,asparagu,pizza asparagu,0
base,raspberry,base raspberry,0
steak,chimichurri,steak chimichurri,0
crab,lobster,crab lobster,0
chip,santum,chip santum,0
juicy,dessert,juicy dessert,0
sashimi,hamachi,sashimi hamachi,0
fresh,crab,fresh crab,1
white,truffle,white truffle,0
waffle,homemade,waffle homemade,0
tempura,asparagu,tempura asparagu,0
fresh,crawfish,fresh crawfish,0
lech,pancake,lech pancake,0
chip,guacamole,chip guacamole,0
red,bird,red bird,0
filet,shrimp,filet shrimp,0
tartare,dressing,tartare dressing,0
toffee,marium,toffee marium,0
cajun,pastum,cajun pastum,0
piece,pork,piece pork,1
nutella,pop,nutella pop,0
stuffed,octopus,stuffed octopus,1
tea,free,tea free,0
halibut,seasonal,halibut seasonal,0
beef,soup,beef soup,1
veal,parmigiana,veal parmigiana,0
shawarma,zucchini,shawarma zucchini,0
stick,sushi,stick sushi,0
rose,salted,rose salted,0
share,piece,share piece,0
benedict,bacon,benedict bacon,0
blossom,tea,blossom tea,0
bruschettum,burratum,bruschettum burratum,0
cornbread,vegetarian,cornbread vegetarian,0
octopus,carpaccio,octopus carpaccio,0
lemon,berry,lemon berry,0
fired,italian,fired italian,0
donut,serf,donut serf,0
super,sauce,super sauce,0
bread,muffin,bread muffin,0
jambalaya,linguini,jambalaya linguini,1
chorizo,marinara,chorizo marinara,0
cold,sweet,cold sweet,0
matcha,pistachio,matcha pistachio,0
french,butter,french butter,0
churro,taco,churro taco,0
escargot,buttery,escargot buttery,0
famou,scallop,famou scallop,0
cucumber,salmon,cucumber salmon,0
spinach,apple,spinach apple,0
fruity,chili,fruity chili,0
edamame,truffle,edamame truffle,0
seared,scallop,seared scallop,0
pickle,brown,pickle brown,1
salmon,burger,salmon burger,1
breast,cheese,breast cheese,1
coconut,roasted,coconut roasted,0
deliciou,split,deliciou split,0
fried,chocolate,fried chocolate,1
winter,seafood,winter seafood,0
raspberry,bread,raspberry bread,0
dinner,served,dinner served,0
baked,lasagna,baked lasagna,0
piccatum,broccolini,piccatum broccolini,0
sunday,buffet,sunday buffet,0
black,wrap,black wrap,0
cookie,dusted,cookie dusted,1
roasted,bacon,roasted bacon,0
rose,love,rose love,0
honey,sesame,honey sesame,0
shot,parmesan,shot parmesan,0
matcha,macaron,matcha macaron,0
charcoal,mix,charcoal mix,0
salad,chestnut,salad chestnut,1
large,chicken,large chicken,0
fried,chilli,fried chilli,1
red,py,red py,0
carbonara,pie,carbonara pie,0
vanilla,daz,vanilla daz,1
steamed,mini,steamed mini,0
housemade,crunchy,housemade crunchy,0
chicken,medium,chicken medium,1
super,pure,super pure,0
strawberry,watermelon,strawberry watermelon,0
pistachio,brioche,pistachio brioche,0
lemon,almond,lemon almond,0
pancake,love,pancake love,0
filled,charcoal,filled charcoal,0
edamame,sesame,edamame sesame,0
pork,pastum,pork pastum,1
cocktail,crispy,cocktail crispy,0
cheese,queso,cheese queso,0
garlic,ginger,garlic ginger,0
chop,lentil,chop lentil,0
homemade,bacon,homemade bacon,0
chip,pitum,chip pitum,0
chocolate,glazed,chocolate glazed,1
sriracha,fry,sriracha fry,0
egg,small,egg small,0
coleslaw,dressing,coleslaw dressing,0
parmesan,quiche,parmesan quiche,0
scallop,vermicelli,scallop vermicelli,1
salmon,gyoza,salmon gyoza,0
chili,rice,chili rice,0
baked,pastry,baked pastry,0
chicken,fruit,chicken fruit,0
soup,potato,soup potato,0
frosting,shredded,frosting shredded,0
spicy,meat,spicy meat,1
order,beef,order beef,0
topped,fresh,topped fresh,0
cheese,galbi,cheese galbi,0
pea,prosciutto,pea prosciutto,0
dark,pork,dark pork,0
asada,taco,asada taco,0
burratum,roasted,burratum roasted,0
date,wonton,date wonton,0
baked,waffle,baked waffle,0
cucumber,roll,cucumber roll,0
bbq,bacon,bbq bacon,0
vegan,vanilla,vegan vanilla,0
dry,pork,dry pork,0
truffle,dessert,truffle dessert,0
house,bun,house bun,0
curd,french,curd french,0
coconut,drink,coconut drink,1
californium,spicy,californium spicy,0
spiced,watermelon,spiced watermelon,0
avocado,ball,avocado ball,0
half,ordered,half ordered,1
extra,olive,extra olive,1
santum,marinated,santum marinated,0
milk,cream,milk cream,0
orange,tomato,orange tomato,0
banana,condensed,banana condensed,0
grill,pancake,grill pancake,0
bacon,white,bacon white,0
rigatoni,pastum,rigatoni pastum,1
blackberry,rib,blackberry rib,0
house,seafood,house seafood,0
octopus,pumpkin,octopus pumpkin,0
filet,mackerel,filet mackerel,0
fresh,half,fresh half,0
latte,coconut,latte coconut,1
salmon,tartare,salmon tartare,0
thai,food,thai food,0
chip,fry,chip fry,1
ketchup,mixed,ketchup mixed,1
pesto,fettuccine,pesto fettuccine,1
salmon,soft,salmon soft,0
lime,donut,lime donut,0
roasted,sliced,roasted sliced,0
yummy,lemon,yummy lemon,0
grilled,cheesy,grilled cheesy,1
cookie,cinnamon,cookie cinnamon,0
frijole,rice,frijole rice,0
egg,sourdough,egg sourdough,0
caramel,breakfast,caramel breakfast,0
chicken,pickled,chicken pickled,1
pork,style,pork style,0
roll,half,roll half,0
salsa,pico,salsa pico,0
queso,guava,queso guava,0
lunch,meatloaf,lunch meatloaf,0
raw,lobster,raw lobster,0
vietnamese,roll,vietnamese roll,0
filling,cream,filling cream,1
radish,edamame,radish edamame,0
strawberry,crisp,strawberry crisp,0
mild,italian,mild italian,0
gyoza,tea,gyoza tea,0
toast,entree,toast entree,0
mochi,deliciou,mochi deliciou,0
citru,chipotle,citru chipotle,0
sauce,topping,sauce topping,1
grilled,bbq,grilled bbq,1
arugula,sliced,arugula sliced,0
lotu,yuzu,lotu yuzu,0
yuzu,jam,yuzu jam,0
corn,cookie,corn cookie,1
slice,turkey,slice turkey,1
meatloaf,dinner,meatloaf dinner,0
brownie,topped,brownie topped,0
nori,seaweed,nori seaweed,0
belly,sushi,belly sushi,0
cabbage,beet,cabbage beet,0
toast,potato,toast potato,0
bear,snow,bear snow,0
yogurt,wheat,yogurt wheat,0
couscou,cucumber,couscou cucumber,0
combo,sweet,combo sweet,0
steak,lamb,steak lamb,0
syrup,crema,syrup crema,0
cold,bite,cold bite,0
golden,caviar,golden caviar,0
caramel,ice,caramel ice,0
sashimi,pork,sashimi pork,1
strawberry,rolled,strawberry rolled,0
sushi,tiger,sushi tiger,0
garlic,fresh,garlic fresh,0
banana,more,banana more,0
spaghetti,meat,spaghetti meat,0
vietnamese,steamed,vietnamese steamed,0
house,charcuterie,house charcuterie,0
pepper,japanese,pepper japanese,0
box,blueberry,box blueberry,0
pudding,chocolate,pudding chocolate,0
pepper,crispy,pepper crispy,0
tasty,sweet,tasty sweet,0
free,breast,free breast,0
truffle,carbonara,truffle carbonara,0
toro,vega,toro vega,0
couscou,pistachio,couscou pistachio,0
yummy,nutella,yummy nutella,0
grilled,fillet,grilled fillet,1
pork,poached,pork poached,1
jesu,special,jesu special,1
cone,piece,cone piece,0
flavorful,green,flavorful green,0
raw,cheesecake,raw cheesecake,0
beet,puree,beet puree,0
dark,cup,dark cup,0
garlic,mushroom,garlic mushroom,0
veal,crispy,veal crispy,0
special,grill,special grill,0
seasonal,cheesecake,seasonal cheesecake,0
filet,crab,filet crab,1
corn,charred,corn charred,0
coffee,sugar,coffee sugar,0
halibut,sandwich,halibut sandwich,0
double,chop,double chop,0
unique,tofu,unique tofu,0
coconut,bun,coconut bun,1
seared,spicy,seared spicy,0
marinara,parmesan,marinara parmesan,1
cinnamon,infused,cinnamon infused,0
smoked,salt,smoked salt,0
salmon,special,salmon special,0
crepe,espresso,crepe espresso,0
fried,dragon,fried dragon,0
squash,cabbage,squash cabbage,0
chocolate,food,chocolate food,0
ribeye,sea,ribeye sea,0
smoked,corn,smoked corn,0
shank,cranberry,shank cranberry,0
cake,friend,cake friend,0
salmon,benedict,salmon benedict,0
chicken,special,chicken special,0
pancake,mushroom,pancake mushroom,0
duck,platter,duck platter,0
pear,cheesecake,pear cheesecake,0
seafood,hot,seafood hot,1
pancake,pickled,pancake pickled,0
peanut,sauce,peanut sauce,1
mango,aioli,mango aioli,0
cake,mango,cake mango,1
rock,bun,rock bun,0
plate,southern,plate southern,0
chinese,salad,chinese salad,0
braised,rib,braised rib,0
topped,tomato,topped tomato,0
roasted,vegetable,roasted vegetable,1
ball,appetizer,ball appetizer,0
mixed,vegetable,mixed vegetable,0
oil,wonton,oil wonton,0
grilled,deliciou,grilled deliciou,0
generou,graham,generou graham,0
gnocchi,pesto,gnocchi pesto,0
cream,cheesecake,cream cheesecake,0
korean,beef,korean beef,0
coconut,base,coconut base,0
mushroom,pork,mushroom pork,0
slaw,potato,slaw potato,0
skewer,served,skewer served,0
quesadilla,special,quesadilla special,0
steak,potato,steak potato,0
muffin,valley,muffin valley,0
seasonal,onion,seasonal onion,0
ice,seasonal,ice seasonal,0
rib,roast,rib roast,1
shrimp,vegetable,shrimp vegetable,0
wing,waffle,wing waffle,0
tuna,lunch,tuna lunch,0
matcha,latte,matcha latte,0
mushroom,breakfast,mushroom breakfast,0
peanut,spicy,peanut spicy,0
spicy,tuna,spicy tuna,0
banana,honey,banana honey,0
basil,deliciou,basil deliciou,0
bread,red,bread red,0
fatty,duck,fatty duck,0
tonkotsu,noodle,tonkotsu noodle,0
scallop,calamari,scallop calamari,0
wing,taco,wing taco,0
pizza,chocolate,pizza chocolate,0
spinach,pastum,spinach pastum,0
edge,shot,edge shot,0
monster,bourbon,monster bourbon,0
minu,blue,minu blue,0
baguette,dipping,baguette dipping,0
nutella,fresh,nutella fresh,0
cactu,salad,cactu salad,0
roll,potato,roll potato,0
smoked,lox,smoked lox,0
infamou,rice,infamou rice,0
cookie,tray,cookie tray,0
custard,cream,custard cream,0
sweet,sour,sweet sour,1
guacamole,deviled,guacamole deviled,0
rigatoni,pesto,rigatoni pesto,0
veggie,gyoza,veggie gyoza,0
ribeye,porchettum,ribeye porchettum,0
chilaquile,deliciou,chilaquile deliciou,0
iberico,broccolini,iberico broccolini,0
curd,croissant,curd croissant,0
pretzel,caramel,pretzel caramel,1
cream,animal,cream animal,0
gravy,red,gravy red,0
pizza,pastum,pizza pastum,0
soi,duck,soi duck,0
grilled,fish,grilled fish,1
get,sliced,get sliced,0
mackerel,salt,mackerel salt,0
arugula,lemon,arugula lemon,1
edamame,order,edamame order,0
mozzarella,cheddar,mozzarella cheddar,0
shrimp,white,shrimp white,1
apple,vinegar,apple vinegar,1
noodle,combo,noodle combo,0
sweet,pork,sweet pork,1
small,piece,small piece,0
mexican,asada,mexican asada,0
deliciou,condiment,deliciou condiment,0
sundae,donut,sundae donut,0
buffalo,ranch,buffalo ranch,0
pig,spiced,pig spiced,0
vegan,salad,vegan salad,0
calamari,stick,calamari stick,0
chocolate,iced,chocolate iced,1
leg,deliciou,leg deliciou,0
chipotle,wrap,chipotle wrap,0
small,kalbi,small kalbi,0
cilantro,albacore,cilantro albacore,0
strawberry,glazed,strawberry glazed,1
yummy,small,yummy small,0
breast,crispy,breast crispy,1
seared,salmon,seared salmon,1
dog,butter,dog butter,0
yummy,banana,yummy banana,0
classic,margheritum,classic margheritum,0
oil,marinated,oil marinated,0
vanilla,crepe,vanilla crepe,0
huge,spicy,huge spicy,0
pancake,peanut,pancake peanut,1
marinated,tuna,marinated tuna,1
smoothie,drink,smoothie drink,1
rib,roasted,rib roasted,1
almond,custard,almond custard,1
biscuit,achiote,biscuit achiote,1
pollo,hot,pollo hot,1
octopus,ceviche,octopus ceviche,1
chicken,piece,chicken piece,1
crisp,chicken,crisp chicken,1
ribeye,burger,ribeye burger,1
mini,salad,mini salad,1
salmon,steak,salmon steak,1
sundae,banana,sundae banana,1
gremolatum,chicken,gremolatum chicken,1
salsa,brussel,salsa brussel,1
coleslaw,salad,coleslaw salad,1
hot,chili,hot chili,1
bun,grilled,bun grilled,1
nutella,dessert,nutella dessert,1
chocolate,frosting,chocolate frosting,1
caramel,toasted,caramel toasted,1
crisp,noodle,crisp noodle,1
savory,sauce,savory sauce,1
vinegar,sweet,vinegar sweet,1
seafood,ceviche,seafood ceviche,1
tiramisu,cheesecake,tiramisu cheesecake,1
hot,nacho,hot nacho,1
duck,egg,duck egg,1
burger,baked,burger baked,1
coconut,crust,coconut crust,1
glaze,chocolate,glaze chocolate,1
cocktail,shrimp,cocktail shrimp,1
coconut,pancake,coconut pancake,1
salad,sweet,salad sweet,1
guava,sauce,guava sauce,1
basil,sauce,basil sauce,1
oreo,sundae,oreo sundae,1
apple,puree,apple puree,1
pancake,chocolate,pancake chocolate,1
veggie,cream,veggie cream,1
shrimp,marinated,shrimp marinated,1
pollo,parmigiana,pollo parmigiana,1
cranberry,salad,cranberry salad,1
wasabi,marinated,wasabi marinated,1
cheesy,salad,cheesy salad,1
burrito,meat,burrito meat,1
mango,cake,mango cake,1
scallop,sauce,scallop sauce,1
sauce,butter,sauce butter,1
mango,gelato,mango gelato,1
caramel,dessert,caramel dessert,1
sushi,fish,sushi fish,1
salad,cheese,salad cheese,1
lasagna,roasted,lasagna roasted,1
strawberry,sundae,strawberry sundae,1
chocolate,sweet,chocolate sweet,1
mushroom,soup,mushroom soup,1
apple,jelly,apple jelly,1
coffee,cream,coffee cream,1
tempura,salmon,tempura salmon,1
smoked,lamb,smoked lamb,1
chicken,dressing,chicken dressing,1
caramel,sauce,caramel sauce,1
donut,chocolate,donut chocolate,1
mousse,pastry,mousse pastry,1
grilled,shrimp,grilled shrimp,1
salad,rice,salad rice,1
turkey,breast,turkey breast,1
oreo,mousse,oreo mousse,1
hazelnut,coffee,hazelnut coffee,1
turkey,fried,turkey fried,1
bean,burrito,bean burrito,1
coconut,churro,coconut churro,1
spicy,rib,spicy rib,1
pineapple,skewer,pineapple skewer,1
dry,rib,dry rib,1
chicken,burger,chicken burger,1
garlic,fried,garlic fried,1
brownie,caramel,brownie caramel,1
shrimp,paste,shrimp paste,1
sticky,bun,sticky bun,1
thai,noodle,thai noodle,1
grilled,tofu,grilled tofu,1
toast,gluten,toast gluten,1
matcha,gelato,matcha gelato,1
shrimp,hot,shrimp hot,1
salad,turkey,salad turkey,1
cake,apricot,cake apricot,1
mini,sweet,mini sweet,1
salad,calamari,salad calamari,1
vegan,sausage,vegan sausage,1
jelly,topping,jelly topping,1
salad,taco,salad taco,1
coconut,cinnamon,coconut cinnamon,0
plu,fry,plu fry,0
tortilla,nacho,tortilla nacho,0
salmon,fresh,salmon fresh,1
pastrami,ribeye,pastrami ribeye,0
chocolate,custard,chocolate custard,1
texa,toast,texa toast,0
fried,roasted,fried roasted,1
ganache,nori,ganache nori,0
hollandaise,chili,hollandaise chili,0
chow,bourbon,chow bourbon,0
tenderloin,special,tenderloin special,0
pop,ice,pop ice,0
steak,horseradish,steak horseradish,1
tray,sushi,tray sushi,0
korean,ice,korean ice,0
caramel,profiterole,caramel profiterole,0
charcoal,croissant,charcoal croissant,0
pepperoni,roll,pepperoni roll,1
cold,cooky,cold cooky,0
crab,drunken,crab drunken,1
chicken,italian,chicken italian,1
coleslaw,half,coleslaw half,0
sampler,sweet,sampler sweet,0
craftkitchen,white,craftkitchen white,0
fish,bean,fish bean,0
panini,fry,panini fry,0
pork,lime,pork lime,0
chocolate,swirl,chocolate swirl,1
grill,taco,grill taco,0
corn,hong,corn hong,0
sunday,carrot,sunday carrot,0
crab,shrimp,crab shrimp,0
queso,chorizo,queso chorizo,0
hummu,beef,hummu beef,0
mexican,sweet,mexican sweet,0
chef,seasonal,chef seasonal,0
quiche,dish,quiche dish,0
super,filling,super filling,0
fudge,torte,fudge torte,1
bakery,sourdough,bakery sourdough,0
roasted,mushroom,roasted mushroom,1
flatbread,house,flatbread house,0
spicy,cake,spicy cake,1
steak,angu,steak angu,0
order,duck,order duck,0
potato,red,potato red,0
pizza,cocktail,pizza cocktail,0
sauce,mozzarella,sauce mozzarella,1
wheat,topping,wheat topping,0
meat,dumpling,meat dumpling,0
spaghetti,thai,spaghetti thai,0
sourdough,mustard,sourdough mustard,0
pistachio,donut,pistachio donut,0
special,treat,special treat,0
flavor,piece,flavor piece,0
milk,base,milk base,0
salmon,wrapped,salmon wrapped,1
moco,beef,moco beef,0
pan,pizza,pan pizza,0
wine,gravy,wine gravy,0
chicken,white,chicken white,0
sauce,mustard,sauce mustard,1
soup,scratch,soup scratch,1
gelato,sticky,gelato sticky,0
oreo,matcha,oreo matcha,0
pear,macaron,pear macaron,0
olife,house,olife house,0
taco,sweet,taco sweet,0
ginger,dressing,ginger dressing,0
vegetarian,calamari,vegetarian calamari,0
sauce,free,sauce free,1
chocolate,tea,chocolate tea,0
prosciutto,arugula,prosciutto arugula,0
vega,lasvega,vega lasvega,0
squash,puree,squash puree,0
cup,ice,cup ice,0
bread,pastum,bread pastum,1
white,cream,white cream,1
pizza,fetum,pizza fetum,1
buttermilk,golden,buttermilk golden,0
rice,carrot,rice carrot,0
salad,came,salad came,0
salmon,fruit,salmon fruit,0
clam,fish,clam fish,0
crispy,artichoke,crispy artichoke,1
pistachio,espresso,pistachio espresso,0
steak,protein,steak protein,1
spicy,fry,spicy fry,1
taiyaki,dessert,taiyaki dessert,0
char,grilled,char grilled,1
pesto,super,pesto super,0
hash,style,hash style,0
korean,chili,korean chili,0
red,cod,red cod,0
tempura,squash,tempura squash,0
baked,sweet,baked sweet,0
cajun,cod,cajun cod,0
marisco,shrimp,marisco shrimp,1
potato,tuna,potato tuna,1
satay,banh,satay banh,0
bang,waffle,bang waffle,0
asian,vega,asian vega,0
italian,donut,italian donut,0
chip,scallion,chip scallion,0
tomato,pickle,tomato pickle,0
dried,bbq,dried bbq,0
roasted,salsa,roasted salsa,1
chicken,bird,chicken bird,1
shot,margarita,shot margarita,1
sauce,wasabi,sauce wasabi,1
burger,turkey,burger turkey,1
potato,ribeye,potato ribeye,1
free,egg,free egg,1
benedict,food,benedict food,0
plate,chorizo,plate chorizo,0
coffee,toasted,coffee toasted,0
marrow,custard,marrow custard,1
fresh,blackberry,fresh blackberry,1
chipotle,coleslaw,chipotle coleslaw,0
bean,fire,bean fire,1
housemade,indian,housemade indian,1
grilled,kabob,grilled kabob,1
plu,salad,plu salad,1
belly,chicken,belly chicken,1
spinach,served,spinach served,0
edamame,tempura,edamame tempura,0
peach,corn,peach corn,0
cream,coconut,cream coconut,1
cheesesteak,fried,cheesesteak fried,1
tuna,citru,tuna citru,0
toast,lavender,toast lavender,1
cha,raman,cha raman,1
pork,taco,pork taco,1
marshmallow,graham,marshmallow graham,0
dragon,roll,dragon roll,1
dinner,egg,dinner egg,0
cheesy,bacon,cheesy bacon,0
caramel,glazed,caramel glazed,1
toast,graham,toast graham,0
arugula,caprese,arugula caprese,1
squash,ginger,squash ginger,0
rib,pound,rib pound,1
bbq,slouse,bbq slouse,0
brisket,spicy,brisket spicy,0
steakhouse,salad,steakhouse salad,1
hot,dragon,hot dragon,0
ravioli,brown,ravioli brown,0
cottum,cinnamon,cottum cinnamon,0
brussel,lemon,brussel lemon,0
snow,clam,snow clam,0
salad,soup,salad soup,0
mango,cheese,mango cheese,0
caviar,vegetarian,caviar vegetarian,0
onion,white,onion white,0
crispy,bird,crispy bird,0
pretzel,croissant,pretzel croissant,0
raspberry,almond,raspberry almond,0
japanese,lasagna,japanese lasagna,0
soup,pulled,soup pulled,0
tikka,cilantro,tikka cilantro,0
baguette,endoedible,baguette endoedible,0
piece,clam,piece clam,0
grilled,fried,grilled fried,0
tail,sweet,tail sweet,1
filet,roasted,filet roasted,1
huge,chile,huge chile,0
marrow,escargot,marrow escargot,0
yolk,custard,yolk custard,0
spice,cheesy,spice cheesy,0
egg,home,egg home,0
berry,crumble,berry crumble,1
pepper,bacon,pepper bacon,0
rice,mochi,rice mochi,0
kale,berry,kale berry,1
crepe,red,crepe red,0
hot,garlic,hot garlic,1
piece,miso,piece miso,0
parmesan,dry,parmesan dry,0
steamed,burger,steamed burger,0
belly,bean,belly bean,0
beef,spicy,beef spicy,1
snapper,truffle,snapper truffle,1
ceviche,caviar,ceviche caviar,0
tuna,cone,tuna cone,0
crunchy,soft,crunchy soft,0
spaghetti,squash,spaghetti squash,0
jelly,greek,jelly greek,0
poutine,deliciou,poutine deliciou,0
spicy,butum,spicy butum,1
asparagu,french,asparagu french,0
homemade,fruit,homemade fruit,0
pecan,coconut,pecan coconut,0
flavorful,raman,flavorful raman,0
benedict,latte,benedict latte,0
hummu,parsley,hummu parsley,1
corn,style,corn style,0
japanese,special,japanese special,0
wrap,grilled,wrap grilled,1
charred,ponzu,charred ponzu,0
spicy,condiment,spicy condiment,1
snow,cake,snow cake,0
old,pizza,old pizza,0
filled,old,filled old,0
little,grilled,little grilled,0
cucumber,pork,cucumber pork,0
pickled,vegetable,pickled vegetable,0
pomegranate,seed,pomegranate seed,0
chocolate,toast,chocolate toast,1
small,slice,small slice,0
salmon,fatty,salmon fatty,0
sesame,pistachio,sesame pistachio,0
calamari,tomato,calamari tomato,0
yellow,macaron,yellow macaron,0
doughnut,maple,doughnut maple,0
bite,brownie,bite brownie,0
shortcake,french,shortcake french,0
tomato,mousse,tomato mousse,0
pork,homemade,pork homemade,1
drink,flavor,drink flavor,1
mozzarella,roasted,mozzarella roasted,0
style,lobster,style lobster,0
oreo,caramel,oreo caramel,0
caribbean,chicken,caribbean chicken,1
pulled,short,pulled short,0
pudding,caramel,pudding caramel,0
circu,sundae,circu sundae,1
fresh,seaweed,fresh seaweed,1
sauce,pepper,sauce pepper,1
grilled,housemade,grilled housemade,1
cheese,pancake,cheese pancake,1
mole,taco,mole taco,0
fish,avocado,fish avocado,0
ciabattum,onion,ciabattum onion,0
box,pecan,box pecan,0
serving,artisan,serving artisan,0
crawfish,jambalaya,crawfish jambalaya,0
hazelnut,pistachio,hazelnut pistachio,0
deliciou,ordered,deliciou ordered,0
scallop,polentum,scallop polentum,1
cup,minced,cup minced,0
pesto,crostini,pesto crostini,0
taco,kimchi,taco kimchi,0
cake,burnt,cake burnt,0
fish,chicken,fish chicken,0
bulgogi,pancake,bulgogi pancake,0
baked,egg,baked egg,0
seabass,grilled,seabass grilled,1
appetizer,garlic,appetizer garlic,0
coffee,dessert,coffee dessert,1
hot,black,hot black,0
teriyaki,steak,teriyaki steak,0
pecan,dark,pecan dark,0
raw,fish,raw fish,0
spicy,octopus,spicy octopus,1
cupcake,yummy,cupcake yummy,1
hot,katsu,hot katsu,1
chick,shack,chick shack,0
roll,glaze,roll glaze,0
salad,served,salad served,0
mushroom,butter,mushroom butter,0
stuffed,wing,stuffed wing,0
pork,yummy,pork yummy,1
box,sesame,box sesame,0
wing,fresh,wing fresh,0
shrimp,churro,shrimp churro,0
iberico,rosemary,iberico rosemary,0
takoyaki,octopus,takoyaki octopus,0
pistachio,cheese,pistachio cheese,0
parmigiana,breaded,parmigiana breaded,0
combination,egg,combination egg,0
