palabra1,palabra2,compuesta,Clase
onion,onion,onion white,0
bacon,bacon,bacon omelette,0
beef,beef,beef topped,0
sandwich,sandwich,sandwich served,0
poblano,poblano,poblano served,0
sugar,sugar,sugar milk,0
split,split,split waffle,0
hummu,hummu,hummu served,0
sausage,sausage,sausage tomato,0
candied,candied,candied nut,0
pizza,pizza,pizza crust,0
stuffed,stuffed,stuffed date,0
chili,chili,chili bacon,0
tempura,tempura,tempura bean,0
brownie,brownie,brownie brown,0
mushroom,mushroom,mushroom dumpling,0
chicken,chicken,chicken white,0
pumpkin,pumpkin,pumpkin ravioli,0
breakfast,breakfast,breakfast potato,0
thick,thick,thick noodle,0
cheese,cheese,cheese herb,0
fresh,fresh,fresh turkey,0
chocolate,chocolate,chocolate pudding,0
noodle,noodle,noodle meat,0
pizza,pizza,pizza fresh,0
craftkitchen,craftkitchen,craftkitchen monkey,0
mexican,mexican,mexican chocolate,0
tomato,tomato,tomato egg,0
raman,raman,raman egg,0
raman,raman,raman shrimp,0
potato,potato,potato chili,0
chipotle,chipotle,chipotle aioli,0
pear,pear,pear goat,0
rib,rib,rib bone,0
cheese,cheese,cheese lettuce,0
chicken,chicken,chicken bone,0
baked,baked,baked cheese,0
christma,christma,christma vanilla,0
butter,butter,butter toast,0
hazelnut,hazelnut,hazelnut chocolate,0
spicy,spicy,spicy cheese,0
spinach,spinach,spinach bacon,0
belly,belly,belly noodle,0
chip,chip,chip pancake,0
deliciou,deliciou,deliciou burger,0
sunday,sunday,sunday chicken,0
style,style,style noodle,0
french,french,french macaron,0
roll,roll,roll love,0
macaron,macaron,macaron lemon,0
fresh,fresh,fresh pastum,0
tempura,tempura,tempura crab,0
carbonara,carbonara,carbonara pastum,0
parmesan,parmesan,parmesan wing,0
mini,mini,mini dessert,0
house,house,house dressing,0
aged,aged,aged balsamic,0
hot,hot,hot nacho,0
special,special,special house,0
pistachio,pistachio,pistachio croissant,0
katsu,katsu,katsu cheese,0
toasted,toasted,toasted hazelnut,0
fry,fry,fry combo,0
potato,potato,potato spinach,0
cheesecake,cheesecake,cheesecake vanilla,0
sauteed,sauteed,sauteed mushroom,0
walnut,walnut,walnut muffin,0
toast,toast,toast homemade,0
sesame,sesame,sesame sauce,0
sandwich,sandwich,sandwich white,0
pork,pork,pork noodle,0
sandwich,sandwich,sandwich grilled,0
topped,topped,topped fresh,0
endoedible,endoedible,endoedible blueberry,0
almond,almond,almond pie,0
masala,masala,masala fry,0
meat,meat,meat vegetable,0
fried,fried,fried japanese,0
tray,tray,tray piece,0
pudding,pudding,pudding ice,0
sandwich,sandwich,sandwich coleslaw,0
tomato,tomato,tomato toast,0
sugar,sugar,sugar cookie,0
mochi,mochi,mochi donut,0
prosciutto,prosciutto,prosciutto bruschettum,0
hawaiian,hawaiian,hawaiian poke,0
dessert,dessert,dessert cake,0
baked,baked,baked chocolate,0
mango,mango,mango chicken,0
hazelnut,hazelnut,hazelnut waffle,0
chinese,chinese,chinese chive,0
crispy,crispy,crispy pig,0
chocolate,chocolate,chocolate endoedible,0
clam,clam,clam linguini,0
sweet,sweet,sweet bread,0
steak,steak,steak onion,0
brunch,brunch,brunch sunday,0
rose,rose,rose water,0
bourbon,bourbon,bourbon fudge,0
bean,bean,bean pork,0
more,more,more pancake,0
crepe,crepe,crepe strawberry,0
creamy,creamy,creamy deliciou,0
served,served,served butter,0
pesto,pesto,pesto wrap,0
parsley,parsley,parsley mediterranean,0
chipotle,chipotle,chipotle buttermilk,0
salad,salad,salad turkey,0
served,served,served warm,0
pepper,pepper,pepper beef,0
shrimp,shrimp,shrimp nigiri,0
fruit,fruit,fruit compote,0
noodle,noodle,noodle sauce,0
szechuan,szechuan,szechuan chicken,0
house,house,house ground,0
cod,cod,cod sandwich,0
curry,curry,curry goat,0
hash,hash,hash house,0
herb,herb,herb rice,0
calamari,calamari,calamari appetizer,0
famou,famou,famou chicken,0
fresh,fresh,fresh fried,0
popcorn,popcorn,popcorn shrimp,0
short,short,short pancake,0
potato,potato,potato corn,0
pear,pear,pear pie,0
fry,fry,fry bulgogi,0
sashimi,sashimi,sashimi piece,0
corn,corn,corn short,0
salmon,salmon,salmon almond,0
burrito,burrito,burrito rice,0
sour,sour,sour tofu,0
yaki,yaki,yaki soba,0
pink,pink,pink lemonade,0
chicken,chicken,chicken heart,0
flan,flan,flan cupcake,0
pork,pork,pork fresh,0
taiwanese,taiwanese,taiwanese spicy,0
taiwanese,taiwanese,taiwanese fried,0
biscuit,biscuit,biscuit maple,0
peach,peach,peach salad,0
mushroom,mushroom,mushroom salad,0
adobo,adobo,adobo chicken,0
ginger,ginger,ginger chicken,0
onion,onion,onion arugula,0
frozen,frozen,frozen yogurt,0
carpaccio,carpaccio,carpaccio seared,0
avocado,avocado,avocado sushi,0
salsa,salsa,salsa sour,0
rice,rice,rice vegetable,0
free,free,free chocolate,0
roll,roll,roll flavor,0
glazed,glazed,glazed bacon,0
fresh,fresh,fresh water,0
combo,combo,combo grilled,0
spicy,spicy,spicy sashimi,0
tomato,tomato,tomato chipotle,0
order,order,order tuna,0
shrimp,shrimp,shrimp burrito,0
butter,butter,butter deliciou,0
nutella,nutella,nutella filling,0
thai,thai,thai hot,0
dry,dry,dry noodle,0
taco,taco,taco corn,0
guacamole,guacamole,guacamole sour,0
wing,wing,wing deliciou,0
anago,anago,anago sea,0
veggie,veggie,veggie raman,0
chicken,chicken,chicken cornbread,0
pizza,pizza,pizza salad,0
roll,roll,roll vega,0
asian,asian,asian style,0
deliciou,deliciou,deliciou roll,0
steak,steak,steak nacho,0
red,red,red miso,0
salad,salad,salad potato,0
cinnamon,cinnamon,cinnamon french,0
potato,potato,potato bbq,0
pork,pork,pork gyoza,0
pesto,pesto,pesto prosciutto,0
golden,golden,golden raisin,0
hummu,hummu,hummu salad,0
hummu,hummu,hummu bowl,0
fried,fried,fried served,0
chicken,chicken,chicken cauliflower,0
chili,chili,chili aioli,0
alba,alba,alba white,0
mushroom,mushroom,mushroom appetizer,0
egg,egg,egg toast,0
sausage,sausage,sausage garlic,0
spicy,spicy,spicy flavour,0
mushroom,mushroom,mushroom hummu,0
dinner,dinner,dinner buffet,0
roasted,roasted,roasted peanut,0
lime,lime,lime cilantro,0
smoked,smoked,smoked bbq,0
salad,salad,salad roasted,0
banana,banana,banana brioche,0
caramel,caramel,caramel syrup,0
truffle,truffle,truffle soup,0
potato,potato,potato creamed,0
style,style,style cheesecake,0
fresh,fresh,fresh egg,0
lemon,lemon,lemon vanilla,0
mini,mini,mini burger,0
beef,beef,beef marinated,0
spanish,spanish,spanish chorizo,0
cookie,cookie,cookie crumble,0
combination,combination,combination fried,0
lasagna,lasagna,lasagna roll,0
sausage,sausage,sausage fresh,0
mango,mango,mango rolled,0
brisket,brisket,brisket pork,0
deliciou,deliciou,deliciou cake,0
cauliflower,cauliflower,cauliflower chili,0
lamb,lamb,lamb sausage,0
love,love,love roll,0
cheese,cheese,cheese dressing,0
vegetable,vegetable,vegetable pizza,0
nutella,nutella,nutella french,0
special,special,special fried,0
sweet,sweet,sweet pumpkin,0
brie,brie,brie apple,0
custard,custard,custard cream,0
beef,beef,beef pizza,0
daikon,daikon,daikon salad,0
garlic,garlic,garlic chili,0
served,served,served dish,0
cheese,cheese,cheese pork,0
miso,miso,miso butter,0
fried,fried,fried bread,0
parsley,parsley,parsley lemon,0
hot,hot,hot soup,0
tea,tea,tea snow,0
cheese,cheese,cheese roasted,0
strawberry,strawberry,strawberry cake,0
asada,asada,asada pastor,0
sauce,sauce,sauce sweet,0
tea,tea,tea soft,0
crab,crab,crab cucumber,0
vegetable,vegetable,vegetable sandwich,0
grill,grill,grill chicken,0
mochi,mochi,mochi red,0
salmon,salmon,salmon deliciou,0
hummu,hummu,hummu falafel,0
tea,tea,tea vanilla,0
wrapped,wrapped,wrapped asparagu,0
spicy,spicy,spicy flavor,0
oxtail,oxtail,oxtail soup,0
salmon,salmon,salmon bruschettum,0
potato,potato,potato roll,0
spinach,spinach,spinach queso,0
stuffed,stuffed,stuffed grape,0
marinara,marinara,marinara parmesan,0
pepperoni,pepperoni,pepperoni mushroom,0
vegan,vegan,vegan pizza,0
rice,rice,rice cracker,0
wine,wine,wine tomato,0
sushi,sushi,sushi spicy,0
mushroom,mushroom,mushroom quesadilla,0
enchilada,enchilada,enchilada style,0
kimchi,kimchi,kimchi rice,0
rib,rib,rib egg,0
special,special,special tea,0
truffle,truffle,truffle pizza,0
hamachi,hamachi,hamachi salmon,0
sugar,sugar,sugar chocolate,0
topped,topped,topped mushroom,0
cold,cold,cold soba,0
served,served,served white,0
grilled,grilled,grilled garlic,0
potato,potato,potato mushroom,0
veggie,veggie,veggie tempura,0
bun,bun,bun cha,0
rice,rice,rice love,0
crispy,crispy,crispy served,0
bowl,bowl,bowl order,0
crispy,crispy,crispy calamari,0
sushi,sushi,sushi tray,0
masala,masala,masala rice,0
white,white,white bread,0
pear,pear,pear salad,0
beef,beef,beef horseradish,0
mushroom,mushroom,mushroom beef,0
crab,crab,crab soup,0
lemon,lemon,lemon potato,0
chorizo,chorizo,chorizo hash,0
caramel,caramel,caramel popcorn,0
octopus,octopus,octopus appetizer,0
roll,roll,roll maki,0
sushi,sushi,sushi set,0
lime,lime,lime juice,0
oreo,oreo,oreo milkshake,0
boston,boston,boston cream,0
smoked,smoked,smoked mushroom,0
basil,basil,basil balsamic,0
fresh,fresh,fresh toasted,0
house,house,house burger,0
cracker,cracker,cracker crust,0
toast,toast,toast blueberry,0
crispy,crispy,crispy corn,0
curry,curry,curry duck,0
mochi,mochi,mochi dessert,0
rainbow,rainbow,rainbow mochi,0
salad,salad,salad bread,0
chocolate,chocolate,chocolate cooky,0
orange,orange,orange candied,0
carbonara,carbonara,carbonara pork,0
rice,rice,rice cheese,0
free,free,free fried,0
veggie,veggie,veggie taco,0
bowl,bowl,bowl super,0
rainbow,rainbow,rainbow trout,0
caramel,caramel,caramel cake,0
deliciou,deliciou,deliciou pizza,0
chick,chick,chick waffle,0
flavor,flavor,flavor deliciou,0
egg,egg,egg asparagu,0
noodle,noodle,noodle broth,0
thai,thai,thai milk,0
seaweed,seaweed,seaweed sauce,0
meal,meal,meal combo,0
chocolate,chocolate,chocolate pistachio,0
fresh,fresh,fresh tasty,0
apple,apple,apple slaw,0
orange,orange,orange sorbet,0
beef,beef,beef bean,0
walnut,walnut,walnut cake,0
black,black,black rice,0
super,super,super crispy,0
tuna,tuna,tuna appetizer,0
kimchi,kimchi,kimchi pancake,0
chef,chef,chef sushi,0
coconut,coconut,coconut pudding,0
extra,extra,extra hot,0
lobster,lobster,lobster fry,0
happy,happy,happy meal,0
bun,bun,bun deliciou,0
curry,curry,curry spicy,0
mango,mango,mango roll,0
chorizo,chorizo,chorizo breakfast,0
bacon,bacon,bacon potato,0
half,half,half roasted,0
street,street,street fry,0
breakfast,breakfast,breakfast deliciou,0
banana,banana,banana dessert,0
sesame,sesame,sesame crepe,0
shrimp,shrimp,shrimp salmon,0
scratch,scratch,scratch chocolate,0
takoyaki,takoyaki,takoyaki fried,0
shrimp,shrimp,shrimp garlic,0
chicken,chicken,chicken bun,0
fry,fry,fry burger,0
oreo,oreo,oreo chocolate,0
cake,cake,cake lemon,0
small,small,small piece,0
lobster,lobster,lobster ball,0
roll,roll,roll tasty,0
red,red,red shrimp,0
steak,steak,steak dish,0
cherry,cherry,cherry cream,0
sashimi,sashimi,sashimi boat,0
cake,cake,cake roll,0
beef,beef,beef meatball,0
pepper,pepper,pepper chili,0
chicken,chicken,chicken warm,0
spicy,spicy,spicy cabbage,0
white,white,white cookie,0
egg,egg,egg steak,0
hot,hot,hot rock,0
cheese,cheese,cheese nacho,0
asparagu,asparagu,asparagu salad,0
dumpling,dumpling,dumpling filled,0
yogurt,yogurt,yogurt sauce,0
brisket,brisket,brisket rib,0
taco,taco,taco beer,0
seafood,seafood,seafood buffet,0
chip,chip,chip muffin,0
steakhouse,steakhouse,steakhouse bone,0
cake,cake,cake yuzu,0
steak,steak,steak special,0
charcoal,charcoal,charcoal grilled,0
chick,chick,chick pea,0
alcohol,alcohol,alcohol infused,0
bacon,bacon,bacon chicken,0
taco,taco,taco salsa,0
pork,pork,pork yellow,0
honey,honey,honey spiced,0
vegetable,vegetable,vegetable soup,0
shrimp,shrimp,shrimp sausage,0
salmon,salmon,salmon caviar,0
cheese,cheese,cheese egg,0
roasted,roasted,roasted brussel,0
hazelnut,hazelnut,hazelnut crunch,0
caramel,caramel,caramel coffee,0
grilled,grilled,grilled skirt,0
sugar,sugar,sugar cone,0
beef,beef,beef platter,0
cake,cake,cake mediterranean,0
garlic,garlic,garlic soy,0
cheese,cheese,cheese waffle,0
house,house,house seafood,0
candy,candy,candy coffee,0
sesame,sesame,sesame raman,0
miso,miso,miso burger,0
cranberry,cranberry,cranberry sauce,0
toasted,toasted,toasted brioche,0
strawberry,strawberry,strawberry gelato,0
roll,roll,roll piece,0
chicken,chicken,chicken banh,0
cake,cake,cake dessert,0
blueberry,blueberry,blueberry white,0
pizza,pizza,pizza fry,0
bean,bean,bean fried,0
style,style,style burger,0
soup,soup,soup bowl,0
fried,fried,fried avocado,0
wing,wing,wing crispy,0
beer,beer,beer onion,0
crab,crab,crab taco,0
sausage,sausage,sausage roll,0
bread,bread,bread perfect,0
rib,rib,rib pulled,0
coconut,coconut,coconut sticky,0
meat,meat,meat flavorful,0
perfect,perfect,perfect lunch,0
brisket,brisket,brisket hot,0
arugula,arugula,arugula tomato,0
gamba,gamba,gamba ajo,0
sorbet,sorbet,sorbet black,0
lasagna,lasagna,lasagna chicken,0
spinach,spinach,spinach egg,0
roll,roll,roll ordered,0
fritter,fritter,fritter endoedible,0
loui,loui,loui rib,0
sizzling,sizzling,sizzling plate,0
fish,fish,fish rice,0
egg,egg,egg spam,0
pork,pork,pork mushroom,0
sauce,sauce,sauce served,0
salad,salad,salad combo,0
vegan,vegan,vegan soft,0
style,style,style milk,0
sashimi,sashimi,sashimi plate,0
fried,fried,fried cake,0
milk,milk,milk ice,0
confit,confit,confit poutine,0
shrimp,shrimp,shrimp vermicelli,0
baked,baked,baked sweet,0
beer,beer,beer cod,0
extra,extra,extra spicy,0
wheat,wheat,wheat toast,0
cooked,cooked,cooked medium,0
cookie,cookie,cookie cream,0
waffle,waffle,waffle chocolate,0
ordered,ordered,ordered extra,0
salmon,salmon,salmon crepe,0
crawfish,crawfish,crawfish crab,0
house,house,house steak,0
combo,combo,combo lunch,0
avocado,avocado,avocado onion,0
meal,meal,meal food,0
house,house,house blend,0
matcha,matcha,matcha tiramisu,0
cheese,cheese,cheese apple,0
house,house,house cured,0
salad,salad,salad shrimp,0
beef,beef,beef fat,0
cheesecake,cheesecake,cheesecake endoedible,0
black,black,black kale,0
caesar,caesar,caesar black,0
brussel,brussel,brussel caesar,0
bowl,bowl,bowl house,0
pastum,pastum,pastum special,0
taiyaki,taiyaki,taiyaki tea,0
fat,fat,fat elvi,0
doughnut,doughnut,doughnut old,0
herb,herb,herb salad,0
pastor,pastor,pastor carne,0
pistachio,pistachio,pistachio chocolate,0
sugar,sugar,sugar free,0
bread,bread,bread breakfast,0
veggie,veggie,veggie salad,0
roasted,roasted,roasted branzino,0
cream,cream,cream crepe,0
pork,pork,pork deliciou,0
rice,rice,rice garlic,0
tuna,tuna,tuna toro,0
shrimp,shrimp,shrimp corn,0
order,order,order roll,0
hamburger,hamburger,hamburger steak,0
creme,creme,creme french,0
free,free,free queso,0
queso,queso,queso entree,0
crab,crab,crab egg,0
nut,nut,nut bread,0
ricottum,ricottum,ricottum toast,0
spicy,spicy,spicy deliciou,0
spicy,spicy,spicy teriyaki,0
chicken,chicken,chicken marinated,0
roasted,roasted,roasted poblano,0
topped,topped,topped avocado,0
white,white,white chicken,0
butter,butter,butter coconut,0
risotto,risotto,risotto scallop,0
satay,satay,satay skewer,0
strawberry,strawberry,strawberry red,0
yuzu,yuzu,yuzu citru,0
pork,pork,pork poutine,0
nacho,nacho,nacho appetizer,0
extra,extra,extra olive,0
veggie,veggie,veggie dish,0
cream,cream,cream endoedible,0
corn,corn,corn enchilada,0
toasted,toasted,toasted baguette,0
steakhouse,steakhouse,steakhouse chili,0
cheesy,cheesy,cheesy bacon,0
cookie,cookie,cookie sandwich,0
aged,aged,aged duck,0
avocado,avocado,avocado fried,0
lotu,lotu,lotu salad,0
tofu,tofu,tofu banh,0
style,style,style rice,0
onion,onion,onion chicken,0
rib,rib,rib sausage,0
creamy,creamy,creamy sauce,0
vegetable,vegetable,vegetable chow,0
special,special,special set,0
brussel,brussel,brussel roasted,0
breakfast,breakfast,breakfast bacon,0
coffee,coffee,coffee chocolate,0
mini,mini,mini chocolate,0
baked,baked,baked apple,0
cod,cod,cod chip,0
white,white,white omelette,0
house,house,house roll,0
belly,belly,belly steamed,0
breakfast,breakfast,breakfast poutine,0
spice,spice,spice pork,0
japanese,japanese,japanese cheesecake,0
cookie,cookie,cookie brownie,0
salad,salad,salad apple,0
sweet,sweet,sweet chocolate,0
caramel,caramel,caramel cream,0
tea,tea,tea mousse,0
pork,pork,pork kimchi,0
banana,banana,banana roll,0
bolognese,bolognese,bolognese pastum,0
fruit,fruit,fruit cup,0
onion,onion,onion red,0
chicken,chicken,chicken chorizo,0
sashimi,sashimi,sashimi combo,0
steak,steak,steak pie,0
sour,sour,sour cherry,0
cake,cake,cake house,0
red,red,red lentil,0
turkey,turkey,turkey meatball,0
sicilian,sicilian,sicilian cannoli,0
taco,taco,taco asada,0
sugar,sugar,sugar cooky,0
shrimp,shrimp,shrimp potato,0
fresh,fresh,fresh wasabi,0
skirt,skirt,skirt garlic,0
truffle,truffle,truffle cream,0
spicy,spicy,spicy mustard,0
fresh,fresh,fresh lobster,0
tofu,tofu,tofu pad,0
bean,bean,bean beef,0
truffle,truffle,truffle fried,0
meat,meat,meat flavor,0
style,style,style rib,0
cheese,cheese,cheese mashed,0
salad,salad,salad special,0
sampler,sampler,sampler plate,0
curry,curry,curry pork,0
fudge,fudge,fudge cake,0
soy,soy,soy milk,0
pear,pear,pear tart,0
bun,bun,bun fry,0
salad,salad,salad soup,0
mixed,mixed,mixed seafood,0
veggie,veggie,veggie egg,0
french,french,french baguette,0
super,super,super tasty,0
veggie,veggie,veggie quesadilla,0
mole,mole,mole poblano,0
steak,steak,steak sauce,0
bacon,bacon,bacon mushroom,0
love,love,love flavor,0
chip,chip,chip deliciou,0
sashimi,sashimi,sashimi fresh,0
burger,burger,burger deliciou,0
bite,bite,bite fried,0
yuzu,yuzu,yuzu soy,0
sandwich,sandwich,sandwich sweet,0
raw,raw,raw fish,0
tomato,tomato,tomato goat,0
mozzarella,mozzarella,mozzarella sausage,0
parmesan,parmesan,parmesan mozzarella,0
breakfast,breakfast,breakfast special,0
olive,olive,olive bread,0
spaghetti,spaghetti,spaghetti carbonara,0
tofu,tofu,tofu salad,0
falafel,falafel,falafel plate,0
raw,raw,raw beef,0
roasted,roasted,roasted tea,0
fried,fried,fried artichoke,0
sauce,sauce,sauce sesame,0
cream,cream,cream gelato,0
miso,miso,miso butterscotch,0
spicy,spicy,spicy lamb,0
kale,kale,kale berry,0
cured,cured,cured salmon,0
rib,rib,rib fry,0
cheese,cheese,cheese bean,0
beef,beef,beef tasty,0
citru,citru,citru hollandaise,0
egg,egg,egg citru,0
almond,almond,almond ice,0
loui,loui,loui style,0
korean,korean,korean spicy,0
meat,meat,meat ball,0
food,food,food happy,0
rice,rice,rice deliciou,0
cherry,cherry,cherry pie,0
crispy,crispy,crispy meat,0
thai,thai,thai chili,0
burger,burger,burger goat,0
yummy,yummy,yummy chicken,0
spinach,spinach,spinach cheese,0
food,food,food plate,0
chium,chium,chium seed,0
pulled,pulled,pulled noodle,0
fire,fire,fire roll,0
shrimp,shrimp,shrimp chive,0
fry,fry,fry house,0
pig,pig,pig brunch,0
jasmine,jasmine,jasmine pig,0
grilled,grilled,grilled peach,0
meatball,meatball,meatball spaghetti,0
pad,pad,pad shrimp,0
glazed,glazed,glazed chocolate,0
donut,donut,donut blueberry,0
banana,banana,banana caramel,0
donut,donut,donut glaze,0
teriyaki,teriyaki,teriyaki beef,0
red,red,red white,0
cheese,cheese,cheese burrito,0
fry,fry,fry beef,0
texa,texa,texa bbq,0
seafood,seafood,seafood hot,0
mushroom,mushroom,mushroom soup,0
home,home,home style,0
rice,rice,rice plate,0
tuna,tuna,tuna bowl,0
soup,soup,soup spicy,0
egg,egg,egg smoked,0
roll,roll,roll served,0
white,white,white american,0
clam,clam,clam crab,0
berry,berry,berry salad,0
fried,fried,fried soft,0
baked,baked,baked fried,0
tofu,tofu,tofu cheesecake,0
grill,grill,grill platter,0
cake,cake,cake cheese,0
pork,pork,pork steamed,0
roll,roll,roll endoedible,0
veal,veal,veal tartare,0
rosemary,rosemary,rosemary potato,0
donut,donut,donut strawberry,0
combination,combination,combination sweet,0
tea,tea,tea creme,0
pink,pink,pink taco,0
vanilla,vanilla,vanilla buttercream,0
strawberry,strawberry,strawberry mango,0
toast,toast,toast avocado,0
korean,korean,korean food,0
cabbage,cabbage,cabbage spinach,0
steak,steak,steak red,0
chocolate,chocolate,chocolate cinnamon,0
chocolate,chocolate,chocolate crunch,0
fruit,fruit,fruit salad,0
special,special,special dish,0
smoked,smoked,smoked fish,0
double,double,double char,0
combo,combo,combo pan,0
chestnut,chestnut,chestnut cake,0
crunch,crunch,crunch ice,0
burger,burger,burger special,0
chicken,chicken,chicken tatsutum,0
candied,candied,candied walnut,0
hummu,hummu,hummu plate,0
fired,fired,fired salmon,0
truffle,truffle,truffle honey,0
waffle,waffle,waffle red,0
brisket,brisket,brisket sausage,0
sauce,sauce,sauce bread,0
cheese,cheese,cheese quesadilla,0
chicken,chicken,chicken corn,0
tea,tea,tea strawberry,0
beef,beef,beef appetizer,0
fry,fry,fry gravy,0
chicken,chicken,chicken entree,0
nutella,nutella,nutella mousse,0
egg,egg,egg soup,0
almond,almond,almond torte,0
burger,burger,burger cheddar,0
mascarpone,mascarpone,mascarpone cream,0
cucumber,cucumber,cucumber red,0
black,black,black mushroom,0
smoked,smoked,smoked fried,0
tomato,tomato,tomato aioli,0
onion,onion,onion sauce,0
gnocchi,gnocchi,gnocchi cheese,0
cheddar,cheddar,cheddar bacon,0
dusted,dusted,dusted fired,0
shrimp,shrimp,shrimp paste,0
bacon,bacon,bacon fry,0
ribeye,ribeye,ribeye sandwich,0
tasty,tasty,tasty sauce,0
deliciou,deliciou,deliciou spicy,0
doughnut,doughnut,doughnut glazed,0
cheese,cheese,cheese cheddar,0
marrow,marrow,marrow toast,0
salad,salad,salad flavor,0
shrimp,shrimp,shrimp avocado,0
bread,bread,bread endoedible,0
parsley,parsley,parsley salad,0
dinner,dinner,dinner cheese,0
chocolate,chocolate,chocolate pizza,0
burrito,burrito,burrito enchilada,0
cheese,cheese,cheese melted,0
rib,rib,rib potato,0
grilled,grilled,grilled rice,0
toast,toast,toast parsley,0
pepper,pepper,pepper house,0
char,char,char burger,0
salmon,salmon,salmon cucumber,0
chicken,chicken,chicken greek,0
lotu,lotu,lotu roll,0
shrimp,shrimp,shrimp veggie,0
protein,protein,protein pancake,0
crispy,crispy,crispy salmon,0
salad,salad,salad lettuce,0
crepe,crepe,crepe banana,0
cheese,cheese,cheese pepper,0
caramel,caramel,caramel latte,0
cherry,cherry,cherry blossom,0
infused,infused,infused olive,0
fish,fish,fish red,0
pastum,pastum,pastum bowl,0
little,little,little bite,0
calamari,calamari,calamari fried,0
avocado,avocado,avocado red,0
shot,shot,shot espresso,0
black,black,black fungu,0
bowl,bowl,bowl steak,0
order,order,order pork,0
cold,cold,cold beer,0
espresso,espresso,espresso coffee,0
grilled,grilled,grilled sirloin,0
cake,cake,cake ordered,0
mini,mini,mini lobster,0
toffee,toffee,toffee cake,0
nutella,nutella,nutella toast,0
fry,fry,fry carne,0
milk,milk,milk cereal,0
hot,hot,hot chili,0
soup,soup,soup baguette,0
monster,monster,monster cinnamon,0
beer,beer,beer braised,0
sea,sea,sea food,0
tuna,tuna,tuna ceviche,0
strawberry,strawberry,strawberry butter,0
bowl,bowl,bowl lemonade,0
dragon,dragon,dragon bowl,0
stuffed,stuffed,stuffed cheese,0
honey,honey,honey wheat,0
double,double,double animal,0
sea,sea,sea fish,0
fresh,fresh,fresh frozen,0
lime,lime,lime shrimp,0
big,big,big carrot,0
cheese,cheese,cheese pecan,0
spicy,spicy,spicy cod,0
shawarma,shawarma,shawarma pizza,0
seasonal,seasonal,seasonal dessert,0
combo,combo,combo brisket,0
ice,ice,ice topped,0
pepper,pepper,pepper roasted,0
egg,egg,egg cheddar,0
chocolate,chocolate,chocolate ball,0
linguini,linguini,linguini clam,0
combo,combo,combo came,0
japanese,japanese,japanese sea,0
fry,fry,fry small,0
rib,rib,rib dinner,0
fish,fish,fish deliciou,0
meatball,meatball,meatball tomato,0
pumpkin,pumpkin,pumpkin pancake,0
baked,baked,baked meatball,0
strawberry,strawberry,strawberry crisp,0
turkey,turkey,turkey salad,0
wing,wing,wing combo,0
pecan,pecan,pecan fresh,0
teriyaki,teriyaki,teriyaki salmon,0
fried,fried,fried lobster,0
cheesecake,cheesecake,cheesecake pop,0
potato,potato,potato bean,0
pork,pork,pork tofu,0
mushroom,mushroom,mushroom tempura,0
noodle,noodle,noodle crispy,0
crunchy,crunchy,crunchy yummy,0
bbq,bbq,bbq lemon,0
macaron,macaron,macaron box,0
plate,plate,plate small,0
chicken,chicken,chicken duck,0
crispy,crispy,crispy coconut,0
chicken,chicken,chicken topped,0
chicken,chicken,chicken pepper,0
bacon,bacon,bacon maple,0
salmon,salmon,salmon house,0
spicy,spicy,spicy potato,0
beef,beef,beef soft,0
cucumber,cucumber,cucumber kimchi,0
mocha,mocha,mocha cake,0
peach,peach,peach muffin,0
special,special,special served,0
strawberry,strawberry,strawberry tea,0
salad,salad,salad mixed,0
tofu,tofu,tofu broth,0
rib,rib,rib flavor,0
pork,pork,pork pickled,0
sea,sea,sea sashimi,0
veggie,veggie,veggie burrito,0
red,red,red chicken,0
tea,tea,tea churro,0
cheese,cheese,cheese stuffed,0
classic,classic,classic salmon,0
tortilla,tortilla,tortilla topped,0
spicy,spicy,spicy crunchy,0
combo,combo,combo red,0
bean,bean,bean filling,0
french,french,french mocha,0
lobster,lobster,lobster mashed,0
minced,minced,minced meat,0
appetizer,appetizer,appetizer tuna,0
hot,hot,hot chick,0
grilled,grilled,grilled ribeye,0
filled,filled,filled cheese,0
quesadilla,quesadilla,quesadilla filled,0
egg,egg,egg order,0
mushroom,mushroom,mushroom sausage,0
marinated,marinated,marinated chilean,0
turkey,turkey,turkey wrap,0
special,special,special chocolate,0
berry,berry,berry cream,0
flavor,flavor,flavor portion,0
sausage,sausage,sausage potato,0
sea,sea,sea skewer,0
ham,ham,ham pineapple,0
relleno,relleno,relleno empanada,0
fried,fried,fried corn,0
cream,cream,cream taco,0
rib,rib,rib fish,0
tea,tea,tea panna,0
appetizer,appetizer,appetizer beef,0
mango,mango,mango tea,0
happy,happy,happy food,0
salad,salad,salad asparagu,0
seafood,seafood,seafood ceviche,0
nut,nut,nut muffin,0
tartare,tartare,tartare deliciou,0
platter,platter,platter deliciou,0
pistachio,pistachio,pistachio pesto,0
lettuce,lettuce,lettuce onion,0
blueberry,blueberry,blueberry dessert,0
biscuit,biscuit,biscuit sandwich,0
homemade,homemade,homemade ice,0
cake,cake,cake yummy,0
trout,trout,trout salmon,0
cha,cha,cha bao,0
chicken,chicken,chicken dry,0
pizza,pizza,pizza chef,0
leg,leg,leg dinner,0
soup,soup,soup thai,0
lobster,lobster,lobster black,0
sauce,sauce,sauce super,0
gnocchi,gnocchi,gnocchi mushroom,0
egg,egg,egg flavor,0
yellow,yellow,yellow tuna,0
